Cell	cell_type
N4_bcBWMF	Recruited_macrophage
N4_bcBWNK	Recruited_macrophage
N4_bcBWOE	Recruited_macrophage
N4_bcBWPP	IW1
N4_bcBWRX	Erythrocyte
N4_bcBWTM	Neutrophils1
N4_bcBWUQ	Leydig
N4_bcBWVB	Endo
N4_bcBXAC	Erythrocyte
N4_bcBXDB	Recruited_macrophage
N4_bcBXEO	Neutrophils1
N4_bcBXGB	IW1
N4_bcBXGC	Neutrophils1
N4_bcBXJS	FLB1
N4_bcBXKM	Neutrophils1
N4_bcBXMM	Erythrocyte
N4_bcBXVD	Erythrocyte
N4_bcBXWG	Neutrophils1
N4_bcBYEY	Neutrophils1
N4_bcBYEZ	Tcells
N4_bcBYHD	PhagNeutrophils
N4_bcBYKY	Erythrocyte
N4_bcBYPS	IW1
N4_bcBYSF	Erythrocyte
N4_bcBYYU	IW1
N4_bcBZAH	Tcells
N4_bcBZBO	Erythrocyte
N4_bcBZBR	Erythrocyte
N4_bcBZJD	Recruited_macrophage
N4_bcBZKR	Erythrocyte
N4_bcBZPL	Erythrocyte
N4_bcBZPS	FLB2
N4_bcBZUS	Recruited_macrophage
N4_bcBZWR	Neutrophils1
N4_bcBZZC	Erythrocyte
N4_bcCACH	Erythrocyte
N4_bcCADP	Neutrophils1
N4_bcCAEJ	Erythrocyte
N4_bcCAHN	Erythrocyte
N4_bcCAIS	IW1
N4_bcCAJH	Neutrophils1
N4_bcCAMD	Erythrocyte
N4_bcCAME	Neutrophils1
N4_bcCANA	PhagNeutrophils
N4_bcCAPB	Erythrocyte
N4_bcCAPS	FLB2
N4_bcCAQS	FLB2
N4_bcCATP	Neutrophils1
N4_bcCATY	Erythrocyte
N4_bcCAZO	Endo
N4_bcCBAF	Recruited_macrophage
N4_bcCBBM	SSC
N4_bcCBHM	Neutrophils1
N4_bcCBIT	IW1
N4_bcCBJE	FLB2
N4_bcCBJJ	Erythrocyte
N4_bcCBKK	Erythrocyte
N4_bcCBLU	Erythrocyte
N4_bcCBOU	Erythrocyte
N4_bcCBSO	Neutrophils1
N4_bcCBSY	IW3
N4_bcCBTN	Erythrocyte
N4_bcCBTU	Neutrophils1
N4_bcCBVR	IW3
N4_bcCBWB	Erythrocyte
N4_bcCCAL	Neutrophils1
N4_bcCCDM	Erythrocyte
N4_bcCCDS	Tcells
N4_bcCCHQ	Endo
N4_bcCCHV	Erythrocyte
N4_bcCCJN	IW1
N4_bcCCKD	Erythrocyte
N4_bcCCLU	Erythrocyte
N4_bcCCMN	Erythrocyte
N4_bcCCQQ	Leydig
N4_bcCCRM	Erythrocyte
N4_bcCCSY	Neutrophils1
N4_bcCCTR	Erythrocyte
N4_bcCCUN	Erythrocyte
N4_bcCCVL	IW3
N4_bcCCXE	Schwann
N4_bcCCXQ	FLB1
N4_bcCCYA	Neutrophils1
N4_bcCCYJ	Schwann
N4_bcCDAE	IW1
N4_bcCDBT	Erythrocyte
N4_bcCDDO	IW3
N4_bcCDFA	FLB1
N4_bcCDGU	Erythrocyte
N4_bcCDQH	Recruited_macrophage
N4_bcCDSR	Neutrophils1
N4_bcCDSZ	Erythrocyte
N4_bcCDWL	Erythrocyte
N4_bcCDXG	Neutrophils1
N4_bcCDXS	Recruited_macrophage
N4_bcCDZJ	SSC
N4_bcCDZY	Neutrophils2
N4_bcCEBH	Erythrocyte
N4_bcCEES	SSC
N4_bcCEFN	Erythrocyte
N4_bcCEHF	Erythrocyte
N4_bcCEIK	Neutrophils1
N4_bcCEKI	Erythrocyte
N4_bcCEMM	Erythrocyte
N4_bcCENH	IW1
N4_bcCEOH	IW3
N4_bcCEOP	Erythrocyte
N4_bcCEQO	FLB1
N4_bcCESU	Erythrocyte
N4_bcCEUN	Erythrocyte
N4_bcCEVS	PhagNeutrophils
N4_bcCEZQ	Erythrocyte
N4_bcCFBK	SSC
N4_bcCFBX	Erythrocyte
N4_bcCFFT	FLB2
N4_bcCFGP	Tcells
N4_bcCFGY	Neutrophils1
N4_bcCFHJ	Endo
N4_bcCFHY	Erythrocyte
N4_bcCFIG	SSC
N4_bcCFKQ	IW3
N4_bcCFND	Early_B
N4_bcCFNM	Erythrocyte
N4_bcCFNN	Erythrocyte
N4_bcCFOD	IW3
N4_bcCFOZ	Schwann
N4_bcCFQW	Neutrophils1
N4_bcCFRU	Erythrocyte
N4_bcCFTY	Erythrocyte
N4_bcCFVA	IW1
N4_bcCFWB	Erythrocyte
N4_bcCGAB	Erythrocyte
N4_bcCGEB	IW1
N4_bcCGHH	Erythrocyte
N4_bcCGHO	IW1
N4_bcCGIT	DC
N4_bcCGST	Neutrophils1
N4_bcCGUC	Neutrophils1
N4_bcCGUF	Early_B
N4_bcCGZY	Erythrocyte
N4_bcCHBK	Recruited_macrophage
N4_bcCHDZ	Neutrophils1
N4_bcCHIX	Tcells
N4_bcCHLQ	Tcells
N4_bcCHMH	IW1
N4_bcCHOS	Recruited_macrophage
N4_bcCHVS	IW1
N4_bcCHWZ	IW1
N4_bcCHYW	Early_B
N4_bcCHZX	IW1
