cell	Cell_type
i3_intact_S1_bcDPAB	Erythrocyte
i3_intact_S1_bcDPDW	SSCs
i3_intact_S1_bcDPLB	Intermediate_epidermis
i3_intact_S1_bcDPMI	Intermediate_epidermis
i3_intact_S1_bcDPOV	BasalEpidermis
i3_intact_S1_bcDPRB	Intermediate_epidermis
i3_intact_S1_bcDPWB	SSCs
i3_intact_S1_bcDPWM	Intermediate_epidermis
i3_intact_S1_bcDQJF	Erythrocyte
i3_intact_S1_bcDQKZ	Myeloid
i3_intact_S1_bcDQMP	Intermediate_epidermis
i3_intact_S1_bcDQNM	Intermediate_epidermis
i3_intact_S1_bcDQQE	Intermediate_epidermis
i3_intact_S1_bcDQQO	Intermediate_epidermis
i3_intact_S1_bcDQRC	Intermediate_epidermis
i3_intact_S1_bcDQVP	Intermediate_epidermis
i3_intact_S1_bcDRBN	Intermediate_epidermis
i3_intact_S1_bcDRIJ	SSCs
i3_intact_S1_bcDRLF	Tcells
i3_intact_S1_bcDRLJ	Fibroblast
i3_intact_S1_bcDRLT	Intermediate_epidermis
i3_intact_S1_bcDRMB	SSCs
i3_intact_S1_bcDROV	Erythrocyte
i3_intact_S1_bcDROW	SSCs
i3_intact_S1_bcDRVJ	Erythrocyte
i3_intact_S1_bcDSBY	Intermediate_epidermis
i3_intact_S1_bcDSEL	Intermediate_epidermis
i3_intact_S1_bcDSIU	Erythrocyte
i3_intact_S1_bcDSKT	Proliferating_Epidermis
i3_intact_S1_bcDSLA	SSCs
i3_intact_S1_bcDSQR	Erythrocyte
i3_intact_S1_bcDSRO	Myeloid
i3_intact_S1_bcDSTB	SSCs
i3_intact_S1_bcDSTL	Erythrocyte
i3_intact_S1_bcDTXM	Intermediate_epidermis
i3_intact_S1_bcDUHF	Erythrocyte
i3_intact_S1_bcDULB	Myeloid
i3_intact_S1_bcDUSW	Intermediate_epidermis
i3_intact_S1_bcDUYI	Tcells
i3_intact_S1_bcDUYU	Tcells
i3_intact_S1_bcDVFE	Tcells
i3_intact_S1_bcDVNV	Myeloid
i3_intact_S1_bcDVPC	SSCs
i3_intact_S1_bcDWCY	Tcells
i3_intact_S1_bcDWPP	SSCs
i3_intact_S1_bcDWYI	Intermediate_epidermis
i3_intact_S1_bcDXBW	Intermediate_epidermis
i3_intact_S1_bcDXUR	SSCs
i3_intact_S1_bcDXVL	Intermediate_epidermis
i3_intact_S1_bcDXZX	Proliferating_Epidermis
i3_intact_S1_bcDYEC	Intermediate_epidermis
i3_intact_S1_bcDYEI	Proliferating_Epidermis
i3_intact_S1_bcDYGO	Intermediate_epidermis
i3_intact_S1_bcDYMV	Erythrocyte
i3_intact_S1_bcDZKM	Myeloid
i3_intact_S1_bcDZTL	Tcells
i3_intact_S1_bcEAGN	Proliferating_Epidermis
i3_intact_S1_bcEAID	Ionocytes
i3_intact_S1_bcEAQC	Erythrocyte
i3_intact_S1_bcEBDC	Epidermal_Langerhans
i3_intact_S1_bcEBEK	Erythrocyte
i3_intact_S1_bcEBER	Erythrocyte
i3_intact_S1_bcEBJC	Intermediate_epidermis
i3_intact_S1_bcEBOE	Intermediate_epidermis
i3_intact_S1_bcEBYT	Erythrocyte
i3_intact_S1_bcECBQ	Tcells
i3_intact_S1_bcECCE	Intermediate_epidermis
i3_intact_S1_bcECQZ	Erythrocyte
i3_intact_S1_bcECSL	Intermediate_epidermis
i3_intact_S1_bcEDAO	Intermediate_epidermis
i3_intact_S1_bcEDHK	Intermediate_epidermis
i3_intact_S1_bcEDLL	Tcells
i3_intact_S1_bcEDML	Proliferating_Epidermis
i3_intact_S1_bcEDMV	Intermediate_epidermis
i3_intact_S1_bcEEEI	Proliferating_Epidermis
i3_intact_S1_bcEEKF	Erythrocyte
i3_intact_S1_bcEEQS	Intermediate_epidermis
i3_intact_S1_bcEEUX	Intermediate_epidermis
i3_intact_S1_bcEFCS	SSCs
i3_intact_S1_bcEFOM	SSCs
i3_intact_S1_bcEFZS	Intermediate_epidermis
i3_intact_S1_bcEGBH	Intermediate_epidermis
i3_intact_S1_bcEGMG	Tcells
i3_intact_S1_bcEGQN	Proliferating_Epidermis
i3_intact_S1_bcEHDH	Intermediate_epidermis
i3_intact_S1_bcEHKX	Intermediate_epidermis
i3_intact_S1_bcEHLB	Intermediate_epidermis
i3_intact_S1_bcEHMG	Intermediate_epidermis
i3_intact_S1_bcEHOI	Intermediate_epidermis
i3_intact_S1_bcEHXE	Tcells
i3_intact_S1_bcEIIQ	Erythrocyte
i3_intact_S1_bcEJBA	Intermediate_epidermis
i3_intact_S1_bcEJBK	Proliferating_Epidermis
i3_intact_S1_bcEJBQ	Intermediate_epidermis
i3_intact_S1_bcEJDX	SSCs
i3_intact_S1_bcEJQI	Intermediate_epidermis
i3_intact_S1_bcEJSF	Tcells
i3_intact_S1_bcEJXY	Erythrocyte
i3_intact_S1_bcEKZN	Ionocytes
i3_intact_S1_bcELCD	Intermediate_epidermis
i3_intact_S1_bcELDG	Proliferating_Epidermis
i3_intact_S1_bcELOT	Intermediate_epidermis
i3_intact_S1_bcELPB	Intermediate_epidermis
i3_intact_S1_bcELQM	Intermediate_epidermis
i3_intact_S1_bcELTM	Intermediate_epidermis
i3_intact_S1_bcEMBJ	Intermediate_epidermis
i3_intact_S1_bcEMQA	Intermediate_epidermis
i3_intact_S1_bcEMSD	SSCs
i3_intact_S1_bcEMTQ	Intermediate_epidermis
i3_intact_S1_bcENWX	SSCs
i3_intact_S1_bcENZI	Proliferating_Epidermis
i3_intact_S1_bcEOCR	Intermediate_epidermis
i3_intact_S1_bcEOEU	Intermediate_epidermis
i3_intact_S1_bcEOIM	Tcells
i3_intact_S1_bcEOOI	Erythrocyte
i3_intact_S1_bcEPCH	Erythrocyte
i3_intact_S1_bcEPGF	Erythrocyte
i3_intact_S1_bcEPHV	Fibroblast
i3_intact_S1_bcEPSD	Erythrocyte
i3_intact_S1_bcEPYU	Intermediate_epidermis
i3_intact_S1_bcEQEO	Intermediate_epidermis
i3_intact_S1_bcEQJN	Proliferating_Epidermis
i3_intact_S1_bcEQMI	Intermediate_epidermis
i3_intact_S1_bcEQNB	Intermediate_epidermis
i3_intact_S1_bcEQNO	Intermediate_epidermis
i3_intact_S1_bcEQTQ	Myeloid
i3_intact_S1_bcEQVF	Early_B
i3_intact_S1_bcEQZL	Intermediate_epidermis
i3_intact_S1_bcESBT	Intermediate_epidermis
i3_intact_S1_bcESMA	Tcells
