cell	cell_type
S3_bcEBYQ	FLB4
S3_bcECAP	FLB3
S3_bcECSA	Macrophage
S3_bcECSD	Erythrocyte1
S3_bcECTV	Erythrocyte1
S3_bcECUO	FLB5
S3_bcEDFA	FLB5
S3_bcEDGD	Macrophage
S3_bcEDIH	FLB5
S3_bcEDKK	FLB4
S3_bcEDOT	Macrophage
S3_bcEDPY	Erythrocyte1
S3_bcEDSA	FLB4
S3_bcEDTB	FLB4
S3_bcEDUE	Macrophage
S3_bcEECJ	FLB4
S3_bcEEHE	EarlyB
S3_bcEEIZ	Macrophage
S3_bcEEJY	Erythrocyte1
S3_bcEEQS	Macrophage
S3_bcEEVX	Macrophage
S3_bcEEXZ	FLB4
S3_bcEFZH	Macrophage
S3_bcEGWP	Macrophage
S3_bcEHFK	Macrophage
S3_bcEIGM	EarlyB
S3_bcEIHH	FLB5
S3_bcEIIT	FLB4
S3_bcEIKK	Erythrocyte1
S3_bcEILT	FLB5
S3_bcEILX	FLB5
S3_bcEIPH	Erythrocyte1
S3_bcEITJ	FLB3
S3_bcEJDR	Macrophage
S3_bcEJIE	FLB4
S3_bcEJKA	FLB4
S3_bcEJPG	Erythrocyte1
S3_bcEJZK	FLB4
S3_bcEKEF	FLB5
S3_bcEKJV	FLB3
S3_bcEKLZ	FLB4
S3_bcEKMY	Tcell
S3_bcEKOK	Macrophage
S3_bcELGB	BasalWE
S3_bcELHH	FLB4
S3_bcELRT	Macrophage
S3_bcELUL	FLB4
S3_bcEMIF	Macrophage
S3_bcEMLE	Macrophage
S3_bcENFA	FLB4
S3_bcENFB	FLB3
S3_bcENFI	FLB4
S3_bcENIS	Erythrocyte1
S3_bcENJO	FLB5
S3_bcENSB	BasalWE
S3_bcENTF	EarlyB
S3_bcENWX	FLB4
S3_bcENYF	Tcell
S3_bcEOEC	FLB4
S3_bcEOYM	FLB4
S3_bcEOZH	FLB5
S3_bcEPAU	EarlyB
S3_bcEPBU	FLB4
S3_bcEPPY	Erythrocyte1
S3_bcEPQM	FLB4
S3_bcEQCD	Macrophage
S3_bcEQPU	FLB4
S3_bcEQTM	FLB4
S3_bcEQVS	Endothelial
S3_bcERDK	FLB4
S3_bcERFD	FLB5
S3_bcERGC	Macrophage
S3_bcERKV	MyogenicBlastema
S3_bcERSE	EarlyB
S3_bcERWZ	Endothelial
S3_bcESAN	Macrophage
S3_bcESJU	Macrophage
S3_bcESKJ	FLB4
S3_bcESLF	FLB4
S3_bcESOB	FLB4
S3_bcESOO	FLB4
S3_bcESPT	FLB5
S3_bcESQP	Erythrocyte1
S3_bcESZW	FLB4
S3_bcETKK	FLB5
S3_bcETNQ	FLB4
S3_bcETWX	FLB4
S3_bcETXP	Tcell
S3_bcETXZ	FLB4
S3_bcETYT	Erythrocyte1
S3_bcEUGK	FLB4
S3_bcEUGV	Macrophage
S3_bcEUNU	FLB4
S3_bcEVCE	Macrophage
S3_bcEVDB	FLB5
S3_bcEVFV	FLB4
S3_bcEVHY	Macrophage
S3_bcEVKH	FLB4
S3_bcEVLI	Macrophage
S3_bcEVTB	Endothelial
S3_bcEVTG	MyogenicBlastema
S3_bcEVWF	FLB4
S3_bcEWGU	Macrophage
S3_bcEWQH	Macrophage
S3_bcEWQO	Erythrocyte1
S3_bcEWZZ	FLB5
S3_bcEXDF	Macrophage
S3_bcEXGS	FLB4
S3_bcEXJG	FLB5
S3_bcEXJY	Macrophage
S3_bcEXRE	Macrophage
S3_bcEXUH	Macrophage
S3_bcEYDU	FLB5
S3_bcEYFS	Tcell
S3_bcEYJP	FLB4
S3_bcEYXL	Macrophage
S3_bcEZEV	FLB4
S3_bcEZIO	Macrophage
S3_bcEZUL	FLB4
S3_bcEZXC	FLB4
S3_bcFAGU	Erythrocyte1
S3_bcFAID	Macrophage
S3_bcFAMQ	MyogenicBlastema
S3_bcFAOR	FLB3
S3_bcFBGL	FLB4
S3_bcFBUC	Macrophage
S3_bcFBVL	Macrophage
S3_bcFCCS	FLB4
S3_bcFCIH	FLB5
S3_bcFCVP	FLB4
S3_bcFDKB	FLB4
S3_bcFDRC	MyogenicBlastema
S3_bcFDSP	BasalWE
S3_bcFDWF	FLB4
S3_bcFDZM	BasalWE
S3_bcFEAS	FLB5
S3_bcFEIT	FLB4
S3_bcFESU	FLB3
S3_bcFFGW	FLB4
S3_bcFFJK	Erythrocyte1
S3_bcFFOE	Macrophage
S3_bcFFRJ	FLB4
S3_bcFGHT	EarlyB
S3_bcFGJI	FLB4
S3_bcFGKL	FLB5
S3_bcFGLI	FLB5
S3_bcFGOQ	Macrophage
S3_bcFGYM	Erythrocyte1
S3_bcFICE	Endothelial
S3_bcFIRC	Macrophage
S3_bcFIRO	FLB4
S3_bcFITQ	Erythrocyte1
S3_bcFIUT	FLB4
S3_bcFIYZ	MyogenicBlastema
S3_bcFIZU	FLB5
S3_bcFJHC	Tenocyte
